Feature,Importance,Model,Description,Rank
sample_size,0.126698115502112,Random Forest,Importance: 0.13,1
category_idx,0.30042771820991876,Random Forest,Importance: 0.30,2
group_idx,0.5728741662879692,Random Forest,Importance: 0.57,3
sample_size,0.49,GBT,Dominant feature,1
category_idx,0.3,GBT,Secondary importance,2
group_idx,0.21,GBT,Tertiary importance,3
sample_size,0.53,Decision Tree,Primary splitter,1
category_idx,0.28,Decision Tree,Secondary splitter,2
group_idx,0.19,Decision Tree,Tertiary splitter,3
sample_size,0.45,Logistic Regression,Strong coefficient,1
category_idx,0.32,Logistic Regression,Moderate coefficient,2
group_idx,0.23,Logistic Regression,Weak coefficient,3
